STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
CHANDIGARH,2020,SCHIZOPHRENIA,0,1,1545116,0.114402997,,-0.406330746,-3.05546E-07,-0.767736799
CHHATTISGARH,2020,SCHIZOPHRENIA,1,3,25540196,1.891039227,,-0.388734196,-2.34256E-07,-0.274957729
DELHI,2020,SCHIZOPHRENIA,2,0,20188648,1.494801579,,-0.371137645,-3.41191E-07,-0.384860711
DAMAN & DIU,2020,SCHIZOPHRENIA,0,0,242911,0.017985541,,-0.406330746,-3.41191E-07,-0.794479755
GOA,2020,SCHIZOPHRENIA,3,2,1457723,0.107932272,,-0.353541095,-2.69901E-07,-0.76953156
GUJARAT,2020,SCHIZOPHRENIA,2,2,72736247,5.385514516,,-0.371137645,-2.69901E-07,0.694292056
HARYANA,2020,SCHIZOPHRENIA,0,0,30351496,2.247276001,,-0.406330746,-3.41191E-07,-0.176149642
HIMACHAL PRADESH,2020,SCHIZOPHRENIA,0,0,7663167,0.567393821,,-0.406330746,-3.41191E-07,-0.642092397
JHARKHAND,2020,SCHIZOPHRENIA,1,0,40929284,3.030473281,,-0.388734196,-3.41191E-07,0.041082913
KARNATAKA,2020,SCHIZOPHRENIA,21,11,70462375,5.217153195,,-0.036803185,5.0905E-08,0.647594294
KERALA,2020,SCHIZOPHRENIA,4,1,35336581,2.61638011,,-0.335944544,-3.05546E-07,-0.07377259
LAKSHADWEEP,2020,SCHIZOPHRENIA,0,0,64429,0.004770432,,-0.406330746,-3.41191E-07,-0.798145181
MADHYA PRADESH,2020,SCHIZOPHRENIA,0,1,86044251,6.370861598,,-0.406330746,-3.05546E-07,0.96759416
MAHARASTRA,2020,SCHIZOPHRENIA,24,27,129877541,9.616352386,,0.015986466,6.21227E-07,1.867784027
MANIPUR,2020,SCHIZOPHRENIA,0,0,27211756,2.014804351,,-0.406330746,-3.41191E-07,-0.240629451
MEGHALAYA,2020,SCHIZOPHRENIA,2,0,2964007,0.219460082,,-0.371137645,-3.41191E-07,-0.738597501
MIZORAM,2020,SCHIZOPHRENIA,0,0,1091014,0.080780518,,-0.406330746,-3.41191E-07,-0.777062543
NAGALAND,2020,SCHIZOPHRENIA,0,0,1980602,0.146647116,,-0.406330746,-3.41191E-07,-0.758793366
ODISHA,2020,SCHIZOPHRENIA,1,0,48426658,3.585591509,,-0.388734196,-3.41191E-07,0.195054018
PUDUCHERRY,2020,SCHIZOPHRENIA,2,1,1244464,0.092142215,,-0.371137645,-3.05546E-07,-0.77391119
PUNJAB,2020,SCHIZOPHRENIA,2,1,31169272,2.307825517,,-0.371137645,-3.05546E-07,-0.159355245
RAJASTHAN,2020,SCHIZOPHRENIA,10,7,80782495,5.981272301,,-0.230365241,-9.16755E-08,0.859535206
SIKKIM,2020,SCHIZOPHRENIA,2,0,658361,0.04874616,,-0.371137645,-3.41191E-07,-0.785947795
TAMIL NADU,2020,SCHIZOPHRENIA,21,9,82722262,6.124895924,,-0.036803185,-2.03853E-08,0.899371563
TELANGANA,2020,SCHIZOPHRENIA,3,4,41008763,3.036358041,,-0.353541095,-1.98611E-07,0.042715147
TRIPURA,2020,SCHIZOPHRENIA,1,2,3671032,0.271809406,,-0.388734196,-2.69901E-07,-0.724077561
UTTARAKHAND,2020,SCHIZOPHRENIA,0,1,10116752,0.749061396,,-0.406330746,-3.05546E-07,-0.591703928
WEST BENGAL,2020,SCHIZOPHRENIA,2,2,103815877,7.686702788,,-0.371137645,-2.69901E-07,1.332564201
ANDHRA PRADESH,2019,OTHERS,10,20,53903393,3.930651269,,-0.230365241,3.71711E-07,0.307527924
ANDAMAN & NICOBAR ,2019,OTHERS,1,3,417036,0.030410388,,-0.388734196,-2.34256E-07,-0.790903807
ARUNACHAL PRADESH,2019,OTHERS,0,0,1570458,0.114518259,,-0.406330746,-3.41191E-07,-0.767216359
ASSAM,2019,OTHERS,0,0,35607039,2.596475755,,-0.406330746,-3.41191E-07,-0.068218283
BIHAR,2019,OTHERS,17,11,124799926,9.100447304,,-0.107189387,5.0905E-08,1.763506717
CHANDIGARH,2019,OTHERS,14,7,1158473,0.084476192,,-0.159979039,-9.16755E-08,-0.775677159
CHHATTISGARH,2019,OTHERS,11,7,29436231,2.146498621,,-0.212768691,-9.16755E-08,-0.194946139
DELHI,2019,OTHERS,10,12,18710922,1.364405935,,-0.230365241,8.65501E-08,-0.415208284
DAMAN & DIU,2019,OTHERS,0,2,615724,0.044898775,,-0.406330746,-2.69901E-07,-0.786823417
GOA,2019,OTHERS,6,11,1586250,0.115669816,,-0.300751443,5.0905E-08,-0.766892044
GUJARAT,2019,OTHERS,25,11,63872399,4.657594118,,0.033583017,5.0905E-08,0.512258123
HARYANA,2019,OTHERS,9,3,28204692,2.056694435,,-0.247961792,-2.34256E-07,-0.22023785
HIMACHAL PRADESH,2019,OTHERS,26,14,7451955,0.54339875,,0.051179567,1.5784E-07,-0.646429988
KARNATAKA,2019,OTHERS,3,6,67562686,4.926690931,,-0.353541095,-1.27321E-07,0.588044334
KERALA,2019,OTHERS,3,4,35699443,2.603213882,,-0.353541095,-1.98611E-07,-0.066320613
LAKSHADWEEP,2019,OTHERS,0,0,73183,0.005336526,,-0.406330746,-3.41191E-07,-0.797965403
MADHYA PRADESH,2019,OTHERS,2,0,85358965,6.224400829,,-0.371137645,-3.41191E-07,0.953520666
MAHARASTRA,2019,OTHERS,0,0,123144223,8.979712954,,-0.406330746,-3.41191E-07,1.729504089
MANIPUR,2019,OTHERS,1,0,3091545,0.225436371,,-0.388734196,-3.41191E-07,-0.735978295
MEGHALAYA,2019,OTHERS,2,0,3366710,0.245501483,,-0.371137645,-3.41191E-07,-0.730327322
MIZORAM,2019,OTHERS,0,0,1239244,0.090366037,,-0.406330746,-3.41191E-07,-0.774018392
NAGALAND,2019,OTHERS,0,0,2249695,0.164048421,,-0.406330746,-3.41191E-07,-0.753267092
PUDUCHERRY,2019,OTHERS,2,3,1413542,0.103075898,,-0.371137645,-2.34256E-07,-0.770438891
PUNJAB,2019,OTHERS,8,5,30141373,2.197917783,,-0.265558342,-1.62966E-07,-0.180464869
RAJASTHAN,2019,OTHERS,4,2,81032689,5.908927511,,-0.335944544,-2.69901E-07,0.864673358
SIKKIM,2019,OTHERS,1,1,690251,0.050333306,,-0.388734196,-3.05546E-07,-0.785292881
TAMIL NADU,2019,OTHERS,136,109,77841267,5.676208081,,1.986800124,3.54413E-06,0.799132174
TELANGANA,2019,OTHERS,27,14,39362732,2.870341993,,0.068776118,1.5784E-07,0.008911149
TRIPURA,2019,OTHERS,23,16,4169794,0.304062605,,-0.001610084,2.29131E-07,-0.71383465
UTTARAKHAND,2019,OTHERS,9,5,1125858,0.082097896,,-0.247961792,-1.62966E-07,-0.776346963
WEST BENGAL,2019,OTHERS,35,18,99609303,7.263539667,,0.209548522,3.00421E-07,1.246175173
ANDHRA PRADESH,2020,OTHERS,150,93,53206421,3.93949323,,2.233151831,2.9738E-06,0.293214439
ANDAMAN & NICOBAR ,2020,OTHERS,3,4,379944,0.028131695,,-0.353541095,-1.98611E-07,-0.791665553
ARUNACHAL PRADESH,2020,OTHERS,0,0,1382611,0.102370852,,-0.406330746,-3.41191E-07,-0.771074111
ASSAM,2020,OTHERS,130,71,31169272,2.307825517,,1.881220821,2.18961E-06,-0.159355245
BIHAR,2020,OTHERS,29,18,138864915,10.28179273,,0.103969219,3.00421E-07,2.052354773
CHANDIGARH,2020,OTHERS,0,1,1545116,0.114402997,,-0.406330746,-3.05546E-07,-0.767736799
CHHATTISGARH,2020,OTHERS,17,6,25540196,1.891039227,,-0.107189387,-1.27321E-07,-0.274957729
DELHI,2020,OTHERS,12,11,20188648,1.494801579,,-0.19517214,5.0905E-08,-0.384860711
DAMAN & DIU,2020,OTHERS,2,0,242911,0.017985541,,-0.371137645,-3.41191E-07,-0.794479755
GOA,2020,OTHERS,12,11,1457723,0.107932272,,-0.19517214,5.0905E-08,-0.76953156
GUJARAT,2020,OTHERS,102,49,72736247,5.385514516,,1.388517406,1.40542E-06,0.694292056
HARYANA,2020,OTHERS,13,6,30351496,2.247276001,,-0.17757559,-1.27321E-07,-0.176149642
HIMACHAL PRADESH,2020,OTHERS,0,1,7663167,0.567393821,,-0.406330746,-3.05546E-07,-0.642092397
JHARKHAND,2020,OTHERS,2,1,40929284,3.030473281,,-0.371137645,-3.05546E-07,0.041082913
KARNATAKA,2020,OTHERS,49,38,70462375,5.217153195,,0.455900229,1.01332E-06,0.647594294
KERALA,2020,OTHERS,2,3,35336581,2.61638011,,-0.371137645,-2.34256E-07,-0.07377259
LAKSHADWEEP,2020,OTHERS,0,0,64429,0.004770432,,-0.406330746,-3.41191E-07,-0.798145181
MADHYA PRADESH,2020,OTHERS,1,0,86044251,6.370861598,,-0.388734196,-3.41191E-07,0.96759416
MANIPUR,2020,OTHERS,0,0,27211756,2.014804351,,-0.406330746,-3.41191E-07,-0.240629451
MEGHALAYA,2020,OTHERS,2,1,2964007,0.219460082,,-0.371137645,-3.05546E-07,-0.738597501
MIZORAM,2020,OTHERS,0,0,1091014,0.080780518,,-0.406330746,-3.41191E-07,-0.777062543
NAGALAND,2020,OTHERS,0,0,1980602,0.146647116,,-0.406330746,-3.41191E-07,-0.758793366
PUDUCHERRY,2020,OTHERS,14,0,1244464,0.092142215,,-0.159979039,-3.41191E-07,-0.77391119
PUNJAB,2020,OTHERS,3,3,31169272,2.307825517,,-0.353541095,-2.34256E-07,-0.159355245
RAJASTHAN,2020,OTHERS,35,11,80782495,5.981272301,,0.209548522,5.0905E-08,0.859535206
SIKKIM,2020,OTHERS,0,0,658361,0.04874616,,-0.406330746,-3.41191E-07,-0.785947795
TAMIL NADU,2020,OTHERS,112,95,82722262,6.124895924,,1.564482911,3.04509E-06,0.899371563
TELANGANA,2020,OTHERS,51,27,41008763,3.036358041,,0.49109333,6.21227E-07,0.042715147
TRIPURA,2020,OTHERS,21,15,3671032,0.271809406,,-0.036803185,1.93485E-07,-0.724077561
UTTARAKHAND,2020,OTHERS,1,1,10116752,0.749061396,,-0.388734196,-3.05546E-07,-0.591703928
WEST BENGAL,2020,OTHERS,26,25,103815877,7.686702788,,0.051179567,5.49937E-07,1.332564201
