STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
CHHATTISGARH,2019,PSYCHOACTIVE SUBSTANCE USE,47,8,29436231,2.146498621,,0.420707128,-5.60304E-08,-0.194946139
DELHI,2019,PSYCHOACTIVE SUBSTANCE USE,13,2,18710922,1.364405935,,-0.17757559,-2.69901E-07,-0.415208284
DAMAN & DIU,2019,PSYCHOACTIVE SUBSTANCE USE,0,0,615724,0.044898775,,-0.406330746,-3.41191E-07,-0.786823417
GOA,2019,PSYCHOACTIVE SUBSTANCE USE,0,0,1586250,0.115669816,,-0.406330746,-3.41191E-07,-0.766892044
GUJARAT,2019,PSYCHOACTIVE SUBSTANCE USE,19,7,63872399,4.657594118,,-0.071996286,-9.16755E-08,0.512258123
HARYANA,2019,PSYCHOACTIVE SUBSTANCE USE,11,1,28204692,2.056694435,,-0.212768691,-3.05546E-07,-0.22023785
HIMACHAL PRADESH,2019,PSYCHOACTIVE SUBSTANCE USE,54,1,7451955,0.54339875,,0.543882982,-3.05546E-07,-0.646429988
JHARKHAND,2019,PSYCHOACTIVE SUBSTANCE USE,28,57,38593948,2.814282038,,0.086372668,1.69058E-06,-0.006877115
KARNATAKA,2019,PSYCHOACTIVE SUBSTANCE USE,58,3,67562686,4.926690931,,0.614269184,-2.34256E-07,0.588044334
KERALA,2019,PSYCHOACTIVE SUBSTANCE USE,9,0,35699443,2.603213882,,-0.247961792,-3.41191E-07,-0.066320613
LAKSHADWEEP,2019,PSYCHOACTIVE SUBSTANCE USE,0,0,73183,0.005336526,,-0.406330746,-3.41191E-07,-0.797965403
MADHYA PRADESH,2019,PSYCHOACTIVE SUBSTANCE USE,1,0,85358965,6.224400829,,-0.388734196,-3.41191E-07,0.953520666
MAHARASTRA,2019,PSYCHOACTIVE SUBSTANCE USE,0,0,123144223,8.979712954,,-0.406330746,-3.41191E-07,1.729504089
MANIPUR,2019,PSYCHOACTIVE SUBSTANCE USE,3,0,3091545,0.225436371,,-0.353541095,-3.41191E-07,-0.735978295
